"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","知识应用-从知识地图加入应用-修改-删除","加入应用","0","0","1","0","0"
"","调度管理-创建-实体-全量","实体-全量","0","0","5","0","0"
"","知识映射-创建-实体映射","创建实体映射","0","0","3","0","0"
"","数据源的创建-orcale","","0","0","0","10","0"
"","知识应用-从知识地图加入应用-修改-删除","删除","0","0","1","0","0"
"","数据源的创建-csv","","0","0","10","0","0"
"","调度管理-创建-实体-增量","实体-增量","0","0","5","0","0"
"","数据源的创建-sqlserver","","0","0","0","10","0"
"","数据源的创建-mysql","","1","0","9","0","0"
"","知识映射-创建-关系映射","创建关系映射","0","0","3","0","0"
"","调度管理-搜索-调度-修改-删除-批量刪除","修改","0","0","1","0","0"
"","知识应用创建","创建","0","0","4","0","0"
"","知识映射-搜索-修改-删除","批量删除-未选中数据","0","0","1","0","0"
"","数据源-修改","修改","0","0","1","0","0"
"","本体管理-创建","创建","0","0","3","0","0"
"","数据源-搜索-删除-批量删除","批量删除-选中数据","0","0","1","0","0"
"","知识应用-设置","创建应用的设置","0","0","6","0","0"
"","数据源的创建-excel","","0","0","10","0","0"
"","调度管理-搜索-调度-修改-删除-批量刪除","批量刪除-未选中","0","0","1","0","0"
"","知识映射-搜索-修改-删除","搜索","0","0","1","0","0"
"","调度管理-搜索-调度-修改-删除-批量刪除","搜索","0","0","1","0","0"
"","调度管理-搜索-调度-修改-删除-批量刪除","调度","0","0","1","0","0"
"","知识映射-搜索-修改-删除","修改","0","0","1","0","0"
"","数据源-搜索-删除-批量删除","删除","0","0","1","0","0"
"","调度管理-搜索-调度-修改-删除-批量刪除","批量删除-选中","0","0","1","0","0"
"","数据源-搜索-删除-批量删除","批量删除-未选中","0","0","1","0","0"
"","知识应用-从知识地图加入应用-修改-删除","修改","0","0","1","0","0"
"","数据源-搜索-删除-批量删除","搜索","0","0","1","0","0"
"","知识映射-搜索-修改-删除","批量删除-已选中数据","0","0","1","0","0"
"","本体管理-导出","导出","0","0","1","0","0"
"","知识映射-搜索-修改-删除","删除","0","0","1","0","0"
"","调度管理-搜索-调度-修改-删除-批量刪除","删除","0","0","1","0","0"
